order_id,order_date,country,device_type,traffic_source,payment_method,product_category,customer_age_days,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,delivery_days_estimated,late_delivery_risk,address_mismatch,high_risk_ip,customer_support_contacts,review_score,is_returned,is_fraud,risk_label
ORD-2025-010997,16/04/2025,Belgium,Mobile,Paid Ads,Debit Card,Beauty,299,0,17.72,25.1,7,0.04,321.6,2,0,0,0,0,5,0,0,Normal
ORD-2023-005000,23/04/2023,Belgium,Desktop,Marketplace,Credit Card,Home & Kitchen,63,2,64.05,94.27,2,0.29,1153,6,1,0,0,1,2.2,1,0,Return Risk
ORD-2025-008481,17/02/2025,Belgium,Desktop,Email,Debit Card,Garden,402,2,30.65,29.39,2,0.18,255.2,3,0,0,0,0,5,0,0,Normal
ORD-2023-009268,01/03/2023,Netherlands,Desktop,Paid Ads,Gift Card,Sports,552,2,21.05,19.86,4,0.02,168.6,4,0,0,0,0,3.9,0,0,Normal
ORD-2025-008399,04/07/2025,Poland,Mobile,Social Media,Debit Card,Home & Kitchen,340,2,47.34,32.19,2,0.2,153.3,3,0,0,0,0,4.5,0,0,Normal
ORD-2025-002632,09/11/2025,Spain,Mobile,Marketplace,PayPal,Home & Kitchen,490,5,30.49,20.79,1,0.2,615.6,4,0,0,0,0,5,0,0,Normal
ORD-2024-003132,02/05/2024,France,Mobile,Marketplace,Credit Card,Toys,505,0,28.91,23.26,3,0.06,398.7,4,0,0,0,0,5,0,0,Normal
ORD-2023-009584,10/06/2023,France,Mobile,Social Media,Klarna,Home & Kitchen,574,7,20.48,16.81,1,0.01,445.9,4,0,0,0,1,3.9,0,0,Normal
ORD-2023-008219,19/06/2023,Netherlands,Mobile,Paid Ads,Debit Card,Fashion,251,3,67.97,81.99,2,0.22,254.2,4,0,0,0,0,4,0,0,Normal
ORD-2025-009277,28/04/2025,France,Desktop,Paid Ads,Credit Card,Electronics,1235,6,34.46,59.28,4,0.46,601.5,4,0,0,0,0,4.3,0,0,Normal
ORD-2025-003814,24/04/2025,Turkey,Mobile,Organic Search,PayPal,Toys,225,3,42.08,19.43,1,0.06,136.8,3,0,0,0,0,4.5,0,0,Normal
ORD-2023-005887,15/12/2023,Netherlands,Mobile,Direct,Credit Card,Electronics,149,0,63.25,126.17,2,0,694.4,4,0,0,0,0,3.4,1,0,Return Risk
ORD-2025-005083,30/10/2025,Netherlands,Mobile,Email,PayPal,Beauty,223,1,28.44,6.38,1,0.16,410.4,5,0,0,0,0,4.6,0,0,Normal
ORD-2024-011816,06/11/2024,Spain,Mobile,Social Media,Debit Card,Sports,381,1,44.4,42.8,3,0.04,493.4,3,0,0,0,0,5,0,0,Normal
ORD-2023-008824,13/03/2023,Poland,Mobile,Email,Klarna,Fashion,338,3,25.9,34.17,2,0.07,242.2,4,0,0,0,0,5,0,0,Normal
ORD-2025-001218,19/02/2025,France,Desktop,Paid Ads,Credit Card,Fashion,568,4,97.72,88.25,1,0.13,181.2,4,0,0,1,1,4.1,0,0,Normal
ORD-2025-003992,08/06/2025,Netherlands,Desktop,Organic Search,Credit Card,Garden,78,1,28.08,19.4,2,0.26,789.8,5,0,0,0,2,3.6,0,0,Normal
ORD-2025-011148,18/12/2025,France,Mobile,Organic Search,Debit Card,Electronics,214,0,50.51,145.36,6,0.04,157.9,4,0,0,0,0,4.3,0,0,Normal
ORD-2024-007616,08/12/2024,Netherlands,Mobile,Email,Credit Card,Fashion,296,4,48.1,68.33,7,0.03,865.5,5,0,0,0,0,4.4,0,0,Normal
ORD-2023-010692,03/10/2023,Italy,Mobile,Paid Ads,Credit Card,Fashion,160,0,47.04,25.42,1,0.03,338.6,5,0,0,0,0,4.8,0,0,Normal
ORD-2023-010185,26/05/2023,Spain,Mobile,Organic Search,Credit Card,Garden,575,6,24.73,16.26,1,0.05,296.4,4,0,0,0,0,5,0,0,Normal
ORD-2024-001684,30/11/2024,Turkey,Mobile,Paid Ads,PayPal,Electronics,713,6,28.42,53.63,1,0.1,1466.9,5,0,0,1,0,3.8,1,0,Return Risk
ORD-2024-004575,29/08/2024,Netherlands,Desktop,Direct,Debit Card,Beauty,581,4,40.31,36.65,1,0.19,614.7,5,0,0,0,0,3,1,0,Return Risk
ORD-2025-011541,01/08/2025,Turkey,Mobile,Paid Ads,Gift Card,Pet Supplies,1115,4,59.04,52.02,1,0.28,832,3,0,0,0,1,4,0,0,Normal
ORD-2025-010751,09/06/2025,Belgium,Desktop,Organic Search,Debit Card,Beauty,684,4,35.28,22.63,1,0.08,431.2,3,0,0,0,0,4.4,0,0,Normal
ORD-2023-011284,01/09/2023,Netherlands,Desktop,Paid Ads,PayPal,Home & Kitchen,568,5,29.35,62.08,3,0.16,275.8,3,0,0,0,0,5,0,0,Normal
ORD-2025-007563,16/01/2025,Netherlands,Mobile,Organic Search,PayPal,Beauty,126,0,35.84,43.68,1,0.29,230.5,3,0,1,0,0,5,0,1,Fraud Risk
ORD-2025-005904,05/12/2025,Poland,Mobile,Organic Search,Debit Card,Garden,160,1,65.7,94.12,1,0.4,498.6,5,0,0,0,0,3.7,0,0,Normal
ORD-2025-002583,07/03/2025,Spain,Desktop,Marketplace,Klarna,Home & Kitchen,1026,3,26.9,19.88,1,0.24,484.7,4,0,0,0,0,4.2,0,0,Normal
ORD-2025-003003,18/08/2025,Belgium,Desktop,Direct,Credit Card,Fashion,259,2,26.02,51.83,1,0.06,620.7,6,0,0,0,0,4.9,0,0,Normal
ORD-2024-010044,19/03/2024,Netherlands,Desktop,Direct,Credit Card,Electronics,461,5,48.78,125,1,0.05,594.5,3,0,0,0,0,4.9,0,0,Normal
ORD-2025-002088,10/04/2025,Spain,Desktop,Organic Search,Debit Card,Toys,613,7,25.24,10.2,1,0.27,247,4,0,0,0,0,4.6,0,0,Normal
ORD-2024-008929,30/10/2024,Italy,Desktop,Paid Ads,Debit Card,Beauty,759,2,19.1,11.96,2,0.13,307.5,4,0,0,0,1,4.4,0,0,Normal
ORD-2025-004149,14/04/2025,Germany,Desktop,Organic Search,PayPal,Pet Supplies,233,1,29.94,80.4,1,0.08,1433.2,5,0,1,0,0,4.5,0,0,Normal
ORD-2024-000136,10/12/2024,Germany,Mobile,Direct,Credit Card,Fashion,104,1,13.49,11.61,2,0.06,55.8,3,0,0,0,0,5,0,0,Normal
ORD-2024-009918,02/08/2024,Germany,Mobile,Organic Search,PayPal,Home & Kitchen,972,2,57.04,117.56,4,0.27,368.6,3,0,0,0,1,4.5,0,0,Normal
ORD-2025-001744,10/03/2025,Germany,Mobile,Organic Search,Debit Card,Garden,608,1,72.73,103.17,1,0.09,507.1,3,0,0,0,0,4.4,0,0,Normal
ORD-2025-007342,01/05/2025,Germany,Mobile,Organic Search,PayPal,Pet Supplies,267,0,98.4,92.44,4,0.31,217.3,4,0,0,0,0,3.2,1,0,Return Risk
ORD-2024-010875,23/09/2024,Poland,Mobile,Social Media,Credit Card,Toys,194,3,29.65,13.39,3,0.06,816.9,4,0,0,0,1,4.3,0,0,Normal
ORD-2025-003708,12/08/2025,Spain,Mobile,Organic Search,Debit Card,Garden,818,2,73.42,57.07,2,0.15,418.3,4,0,0,0,0,2.6,1,0,Return Risk
ORD-2024-005471,24/10/2024,Belgium,Desktop,Email,Debit Card,Beauty,450,0,25.15,22.8,2,0.28,370.4,5,0,0,0,1,5,0,0,Normal
ORD-2024-000701,04/09/2024,France,Mobile,Social Media,Gift Card,Electronics,486,3,20.98,67.27,2,0.09,928.2,5,0,0,0,0,3.2,1,0,Return Risk
ORD-2024-008558,31/07/2024,Germany,Mobile,Email,Credit Card,Pet Supplies,480,3,153.03,79.52,1,0.27,407.8,5,0,0,0,0,4.9,0,0,Normal
ORD-2025-011716,19/05/2025,Netherlands,Desktop,Paid Ads,Debit Card,Sports,65,1,41.11,92.78,1,0.08,156.5,4,0,0,0,0,4.5,0,0,Normal
ORD-2024-001609,15/12/2024,Netherlands,Mobile,Organic Search,Debit Card,Garden,62,0,24.71,78.97,1,0.15,409.7,3,0,0,0,0,5,0,0,Normal
ORD-2023-005864,13/08/2023,Belgium,Desktop,Social Media,PayPal,Garden,840,4,103.37,89.58,2,0.05,394.2,3,0,0,0,0,5,0,0,Normal
ORD-2025-000430,03/06/2025,Turkey,Desktop,Social Media,Debit Card,Electronics,76,1,36.45,97.5,2,0.29,933.5,6,1,0,0,0,4.4,0,0,Normal
ORD-2024-004024,17/12/2024,France,Mobile,Organic Search,Klarna,Electronics,211,2,20.07,41.7,1,0.53,273.6,3,0,0,0,0,2.4,1,0,Return Risk
ORD-2024-006689,05/11/2024,Netherlands,Mobile,Paid Ads,PayPal,Pet Supplies,123,2,86.64,59.61,2,0.5,814.7,4,0,0,0,0,3.8,0,0,Normal
ORD-2025-004101,10/03/2025,Netherlands,Desktop,Direct,Bank Transfer,Fashion,116,0,23.98,49.11,3,0.33,128.8,4,0,0,0,1,2.8,1,0,Return Risk
ORD-2025-008876,18/06/2025,Germany,Mobile,Marketplace,Gift Card,Garden,105,0,28.65,27.84,2,0.19,48.6,2,0,0,0,0,4.5,0,0,Normal
ORD-2023-008515,29/01/2023,Italy,Mobile,Marketplace,Credit Card,Pet Supplies,569,5,21.71,19.67,1,0.01,349,3,0,0,0,0,3.9,0,0,Normal
ORD-2025-009650,15/10/2025,Belgium,Mobile,Organic Search,Klarna,Home & Kitchen,422,2,61.92,118.69,2,0.15,474.5,2,0,0,0,0,4.3,0,0,Normal
ORD-2025-002271,16/09/2025,France,Mobile,Paid Ads,Klarna,Home & Kitchen,144,1,82.83,88.28,1,0.05,553.8,6,0,0,0,0,4.3,0,0,Normal
ORD-2023-007693,19/05/2023,Germany,Mobile,Paid Ads,Debit Card,Garden,267,0,33.31,35.53,6,0.02,297.6,5,0,0,0,0,5,0,0,Normal
ORD-2023-000071,07/07/2023,Netherlands,Mobile,Social Media,Bank Transfer,Garden,49,0,74.52,62.09,2,0.05,164.4,4,0,0,0,0,4.5,0,0,Normal
ORD-2024-005721,13/12/2024,Netherlands,Mobile,Organic Search,Debit Card,Home & Kitchen,972,6,30.11,31.09,4,0.24,215.8,4,0,0,0,0,4.1,0,0,Normal
ORD-2025-010748,29/07/2025,Turkey,Mobile,Paid Ads,Credit Card,Toys,274,0,55.36,71.78,1,0.19,353.1,4,0,0,0,0,4.7,0,0,Normal
ORD-2023-010153,31/10/2023,Netherlands,Mobile,Paid Ads,Debit Card,Toys,221,2,77.2,92.76,1,0.36,395.4,4,0,0,0,0,2.8,1,0,Return Risk
ORD-2025-011958,29/03/2025,Turkey,Desktop,Marketplace,Klarna,Electronics,385,1,32.2,110.78,1,0.22,333,5,0,0,0,0,4.2,1,0,Return Risk
ORD-2023-009138,16/09/2023,Poland,Mobile,Marketplace,Klarna,Pet Supplies,423,5,76.57,40.2,1,0.01,1290.2,6,1,0,0,0,2.7,1,0,Return Risk
ORD-2024-002020,17/04/2024,Italy,Mobile,Social Media,Credit Card,Home & Kitchen,24,0,37.56,13.94,1,0.21,1563,5,0,1,0,0,4.6,0,0,Normal
ORD-2024-009837,10/09/2024,Netherlands,Desktop,Organic Search,Bank Transfer,Sports,320,2,117.59,262.95,1,0.04,182.8,3,0,0,0,0,4.4,0,0,Normal
ORD-2023-011352,05/02/2023,Netherlands,Desktop,Direct,Credit Card,Sports,230,3,38.43,67.11,1,0.04,464.8,4,0,0,0,0,4.7,0,0,Normal
ORD-2025-006703,02/05/2025,Germany,Mobile,Organic Search,Klarna,Garden,323,2,80.68,168.49,1,0.13,89,3,0,0,0,0,4.6,0,0,Normal
ORD-2024-004030,01/04/2024,Turkey,Mobile,Paid Ads,PayPal,Home & Kitchen,132,1,50.73,82.65,3,0.17,238.8,4,0,0,0,0,4.8,0,0,Normal
ORD-2023-007760,19/05/2023,Poland,Mobile,Social Media,Klarna,Home & Kitchen,199,2,34.15,33.69,2,0.18,430.7,3,0,0,0,1,3.9,0,0,Normal
ORD-2025-011691,17/03/2025,Italy,Desktop,Email,Bank Transfer,Home & Kitchen,428,1,46.45,41.06,2,0.35,1545.3,6,1,0,0,1,3.1,0,0,Normal
ORD-2025-008484,04/05/2025,Netherlands,Mobile,Social Media,Credit Card,Sports,502,3,170.01,200.11,1,0.07,334.3,4,0,0,0,0,4.3,0,0,Normal
ORD-2023-003859,05/06/2023,Netherlands,Mobile,Paid Ads,Credit Card,Pet Supplies,372,4,45.49,36.85,4,0.23,1131.4,3,0,0,0,0,4.5,0,0,Normal
ORD-2024-000745,15/10/2024,Turkey,Mobile,Direct,Credit Card,Garden,768,1,37.93,35.88,3,0.09,122.3,3,0,0,0,0,5,0,0,Normal
ORD-2024-001384,06/07/2024,France,Desktop,Organic Search,Bank Transfer,Sports,663,4,40.57,34.72,1,0.07,995.1,6,1,0,0,1,4.1,0,0,Normal
ORD-2023-005644,25/08/2023,France,Desktop,Direct,Debit Card,Toys,529,4,58.68,51.7,5,0.37,293.2,4,0,0,0,1,5,0,0,Normal
ORD-2024-008686,12/06/2024,France,Mobile,Organic Search,Debit Card,Sports,241,3,33.33,64.87,2,0.03,672.4,4,0,0,0,0,4.8,0,0,Normal
ORD-2023-010614,14/12/2023,France,Mobile,Marketplace,Credit Card,Toys,299,1,46.6,66.39,3,0.09,1146.9,5,0,0,0,0,4.4,0,0,Normal
ORD-2024-000150,20/01/2024,Netherlands,Desktop,Email,Credit Card,Home & Kitchen,307,1,28.59,38.83,1,0.09,156.1,4,0,0,0,0,4.8,0,0,Normal
ORD-2023-011880,25/06/2023,Netherlands,Desktop,Organic Search,Klarna,Electronics,496,6,61.34,148.76,1,0.25,267.9,3,0,0,0,0,5,0,0,Normal
ORD-2024-000812,20/08/2024,Netherlands,Tablet,Marketplace,Gift Card,Home & Kitchen,263,2,91.26,166.52,1,0.05,142.6,3,0,0,0,0,4.7,0,1,Fraud Risk
ORD-2025-005901,19/09/2025,Netherlands,Desktop,Marketplace,Bank Transfer,Pet Supplies,631,5,15.29,9.15,1,0.12,297.7,5,0,0,0,0,4.3,0,0,Normal
ORD-2025-004329,30/05/2025,Netherlands,Desktop,Organic Search,Klarna,Garden,30,1,31.69,33.64,1,0.15,168,4,0,0,0,0,4.7,0,0,Normal
ORD-2025-006374,06/01/2025,Germany,Mobile,Direct,Gift Card,Home & Kitchen,299,0,42.9,26.16,2,0.16,1243.1,5,0,0,0,0,4.7,0,0,Normal
ORD-2024-003996,15/04/2024,France,Tablet,Social Media,Credit Card,Home & Kitchen,101,0,25.08,41.37,1,0.11,974.5,5,0,1,0,0,4.5,0,0,Normal
ORD-2023-004383,28/05/2023,Netherlands,Desktop,Paid Ads,Debit Card,Sports,46,0,20.6,21.78,3,0.2,611.3,6,0,0,0,0,4.7,0,0,Normal
ORD-2025-001731,06/09/2025,Spain,Mobile,Paid Ads,Credit Card,Pet Supplies,595,0,41.62,46.91,2,0.16,634.5,3,0,0,0,0,4.2,0,0,Normal
ORD-2025-004360,11/07/2025,Germany,Desktop,Paid Ads,PayPal,Home & Kitchen,389,1,14.98,59.66,2,0.11,470.1,2,0,0,1,0,5,0,0,Normal
ORD-2024-005028,15/06/2024,Poland,Mobile,Marketplace,Debit Card,Fashion,101,0,53,28.74,2,0.13,370,2,0,0,0,0,3.3,1,0,Return Risk
ORD-2024-001794,27/04/2024,France,Mobile,Social Media,Gift Card,Home & Kitchen,113,1,34.09,44.12,2,0.09,210.3,3,0,0,1,0,4,0,0,Normal
ORD-2024-009080,02/02/2024,Netherlands,Mobile,Paid Ads,Credit Card,Beauty,315,2,63.62,56.14,3,0.09,715.9,7,0,0,0,0,4.5,0,0,Normal
ORD-2023-005467,25/08/2023,Netherlands,Mobile,Marketplace,Debit Card,Fashion,429,6,56.53,48.49,2,0.35,1302.6,7,1,0,0,0,4.1,0,0,Normal
ORD-2024-011128,25/04/2024,Poland,Mobile,Social Media,Credit Card,Home & Kitchen,559,4,42.4,90.17,1,0.42,791.3,4,0,0,0,0,4.6,0,0,Normal
ORD-2024-008487,26/10/2024,Spain,Mobile,Direct,Gift Card,Toys,45,0,72.37,46.54,3,0.1,354.9,3,0,0,0,0,4.1,0,0,Normal
ORD-2025-001122,24/03/2025,Italy,Desktop,Email,Debit Card,Pet Supplies,232,1,15.12,7.7,1,0.07,323.4,3,0,1,0,0,3.9,0,0,Normal
ORD-2023-004619,29/01/2023,Belgium,Mobile,Organic Search,Bank Transfer,Garden,386,4,75.6,50.01,2,0.16,266.9,3,0,0,0,0,5,0,0,Normal
ORD-2025-005938,27/08/2025,France,Tablet,Email,Credit Card,Garden,137,0,61.9,51.16,1,0.07,366.2,3,0,0,0,1,4.6,0,0,Normal
ORD-2024-009528,20/08/2024,France,Mobile,Organic Search,Credit Card,Electronics,148,0,51.14,129.59,1,0.02,342.5,3,0,0,1,0,4.7,0,1,Fraud Risk
ORD-2024-002035,19/07/2024,Netherlands,Desktop,Organic Search,Credit Card,Fashion,239,1,51.7,22.82,1,0.2,447.3,4,0,0,0,0,3.4,0,0,Normal
ORD-2025-003127,20/08/2025,France,Mobile,Social Media,PayPal,Home & Kitchen,139,1,45.81,42.65,8,0.19,191.7,2,0,0,0,0,5,0,0,Normal
ORD-2025-011065,16/06/2025,Netherlands,Mobile,Marketplace,PayPal,Toys,268,3,99.9,80.66,1,0.39,198,4,0,0,0,0,4.2,0,0,Normal
ORD-2023-011823,27/03/2023,Belgium,Desktop,Paid Ads,PayPal,Sports,38,0,23.95,35.42,1,0.07,811,5,0,0,0,0,5,0,0,Normal
ORD-2023-003828,13/03/2023,Belgium,Mobile,Social Media,Credit Card,Home & Kitchen,130,0,13.85,31.56,2,0.12,348.1,3,0,0,1,0,3.7,0,0,Normal
ORD-2025-004368,05/07/2025,France,Mobile,Marketplace,Credit Card,Pet Supplies,225,0,21.42,21.1,2,0.03,260,4,0,0,0,0,3.8,0,0,Normal
ORD-2024-005298,16/04/2024,Netherlands,Desktop,Marketplace,Credit Card,Home & Kitchen,148,0,50.96,88.59,1,0.03,104.3,3,0,1,0,0,5,0,0,Normal
ORD-2023-003211,22/01/2023,France,Desktop,Organic Search,Gift Card,Home & Kitchen,503,2,63.87,160.26,1,0.09,1194.9,5,0,0,0,0,4,0,0,Normal
ORD-2024-009929,22/06/2024,Germany,Mobile,Paid Ads,PayPal,Pet Supplies,1036,3,41.95,52.75,2,0.04,471.4,3,0,0,0,0,5,0,0,Normal
ORD-2023-002699,13/07/2023,Germany,Mobile,Email,Credit Card,Pet Supplies,325,2,40.85,34,1,0.09,1184.4,5,0,0,0,0,4.7,0,0,Normal
ORD-2023-008046,09/01/2023,Netherlands,Desktop,Direct,PayPal,Pet Supplies,362,1,104.15,80.71,2,0.26,1464.6,5,0,0,0,0,4.2,0,0,Normal
ORD-2025-004280,29/10/2025,Germany,Mobile,Marketplace,Debit Card,Toys,392,5,64.97,43.91,2,0.03,482.9,4,0,0,0,0,4.7,0,0,Normal
ORD-2024-000374,20/11/2024,Turkey,Mobile,Social Media,Debit Card,Fashion,342,1,45.71,35.29,3,0.07,927.4,7,1,0,0,1,3.4,0,0,Normal
ORD-2023-000625,08/10/2023,Netherlands,Mobile,Email,Credit Card,Electronics,185,0,44.65,33.9,3,0.17,365,5,0,0,0,0,4.7,0,0,Normal
ORD-2023-011618,26/11/2023,Poland,Mobile,Organic Search,Credit Card,Sports,88,2,39.88,46.08,3,0.2,376.3,3,0,0,0,1,4.4,0,0,Normal
ORD-2025-006097,04/08/2025,Netherlands,Mobile,Organic Search,Debit Card,Home & Kitchen,338,1,22.89,24.42,7,0.07,439.1,5,0,0,0,0,5,0,0,Normal
ORD-2023-004984,05/05/2023,Germany,Desktop,Marketplace,Bank Transfer,Sports,212,0,64.54,152.27,2,0.13,696.2,4,0,0,0,0,4.1,0,0,Normal
ORD-2023-003489,26/04/2023,Turkey,Mobile,Social Media,Credit Card,Electronics,132,0,84.23,61.11,1,0.04,71.8,3,0,0,0,0,5,0,0,Normal
ORD-2025-011980,16/06/2025,Germany,Mobile,Paid Ads,PayPal,Home & Kitchen,80,0,35.18,85.99,4,0.2,157,5,0,0,0,0,5,0,1,Fraud Risk
ORD-2023-002037,28/07/2023,Belgium,Mobile,Organic Search,Credit Card,Beauty,138,0,54.62,20.92,1,0.25,439.5,4,0,0,0,0,4.3,0,0,Normal
ORD-2023-008389,01/01/2023,Turkey,Desktop,Marketplace,Credit Card,Toys,170,1,32.82,19.53,1,0.02,969.4,5,0,0,0,0,3.5,0,0,Normal
ORD-2025-000748,24/04/2025,Netherlands,Desktop,Organic Search,Debit Card,Fashion,247,1,53.87,39.21,3,0.09,386.4,6,0,0,0,0,5,0,0,Normal
ORD-2023-009038,03/11/2023,Italy,Mobile,Paid Ads,Klarna,Electronics,50,0,19.43,68.45,4,0.14,402.6,3,0,0,0,0,4.7,0,0,Normal
ORD-2024-009146,22/01/2024,Italy,Mobile,Organic Search,Gift Card,Home & Kitchen,208,0,19.27,37.28,1,0.15,695.9,3,0,1,0,0,4.9,0,1,Fraud Risk
ORD-2023-004448,07/07/2023,Spain,Mobile,Marketplace,PayPal,Electronics,140,0,21.16,39.51,4,0.16,508,3,0,0,0,0,3.4,1,0,Return Risk
ORD-2024-011020,09/06/2024,Spain,Mobile,Social Media,Credit Card,Electronics,326,2,33.76,87.65,1,0.23,491.6,3,0,0,0,0,4,0,0,Normal
ORD-2024-006744,01/10/2024,Spain,Mobile,Organic Search,Credit Card,Beauty,661,6,77.76,65,1,0.07,116.7,4,0,0,0,1,4.7,0,0,Normal
